Filename,Cache Entry Offset (bytes),Cache Entry Size (bytes),Data Offset (bytes),Data Size (bytes),Data Checksum,Header Checksum,Cache Entry Hash,System,Location
"3ddeca3376228f3c.bmp",24,28656,114,28566,4f71234828cf0de9,e8e95f18a476a816,3ddeca3376228f3c,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"b7bf02e0c5e5f489.bmp",28680,28656,28770,28566,5e2fb9ab0e77e191,8cc1477598900336,b7bf02e0c5e5f489,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"75a428fce55ea06f.bmp",57336,28656,57426,28566,c4411091068b3581,82cceb52a88b2bf4,75a428fce55ea06f,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"f70f866ab681a79c.bmp",85992,28656,86082,28566,a4ad89e1d44bc29f,2aeba8cc17cd9b3f,f70f866ab681a79c,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"2134bc46b471f1ac.bmp",114648,28656,114738,28566,87145dad07627bc0,6aa265b75bbd19c7,2134bc46b471f1ac,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"1cca5e34a9e50d61.bmp",143304,28656,143394,28566,eaa8e5ca0ebfdcd7,b4799ed3fb0e5d47,1cca5e34a9e50d61,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"d02041b4d25bfd74.bmp",171960,28656,172050,28566,73d547ef01187b28,a8613a41b7986538,d02041b4d25bfd74,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"ad1e0a5263fa647e.bmp",200616,28656,200706,28566,8fa93166ba8b8fc2,a9290d664b6ef2ff,ad1e0a5263fa647e,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"7805795d2a57b0a.bmp",229272,28652,229358,28566,1969723cab8624b9,c960227c99c58f23,07805795d2a57b0a,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
"23120fa7f011c2e1.bmp",257928,28656,258018,28566,270924d0688a00c8,ea9c98f7eb410cd1,23120fa7f011c2e1,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db"
